"date.time","direction","entry","target_or_stop","exit_date","exit","ticks","cumulative_profit","winLose","cum.winLose"
2015-08-14 17:00:00,"long",1.56074,"target","2015-08-16T22:00:00",1.56612,108,108,1,1
2015-08-18 03:00:00,"short",1.55824,"stopped","2015-08-18T05:00:00",1.55898,-15,93,-1,0
2015-08-21 22:00:00,"long",1.5694,"stopped","2015-08-21T23:00:00",1.56838,-20,73,-1,-1
2015-08-27 14:00:00,"short",1.54644,"target","2015-08-27T15:00:00",1.54325,64,137,1,0
2015-08-28 12:00:00,"short",1.54052,"target","2015-08-28T15:00:00",1.53629,85,222,1,1
2015-09-02 03:00:00,"short",1.53024,"stopped","2015-09-02T06:00:00",1.53145,-24,198,-1,0
2015-09-07 13:00:00,"long",1.52619,"target","2015-09-07T18:00:00",1.52804,37,235,1,1
2015-09-20 23:00:00,"short",1.5529,"stopped","2015-09-21T09:00:00",1.55477,-37,198,-1,0
2015-09-23 05:00:00,"short",1.53497,"target","2015-09-23T08:00:00",1.53382,23,221,1,1
2015-09-23 09:00:00,"short",1.53561,"target","2015-09-23T10:00:00",1.53295,53,274,1,2
2015-09-29 05:00:00,"short",1.51653,"stopped","2015-09-29T08:00:00",1.51749,-19,255,-1,1
2015-10-01 10:00:00,"short",1.51265,"stopped","2015-10-01T11:00:00",1.51467,-40,215,-1,0
2015-10-08 20:00:00,"long",1.53209,"target","2015-10-08T21:00:00",1.5348,54,269,1,1
2015-10-09 07:00:00,"long",1.53694,"stopped","2015-10-09T08:00:00",1.53661,-6,263,-1,0
2015-10-15 10:00:00,"long",1.54612,"target","2015-10-15T13:00:00",1.55026,83,346,1,1
2015-10-19 18:00:00,"long",1.5469,"target","2015-10-20T10:00:00",1.54908,44,390,1,2
2015-10-26 00:00:00,"short",1.5316,"stopped","2015-10-26T04:00:00",1.53276,-23,367,-1,1
2015-10-28 14:00:00,"short",1.52965,"stopped","2015-10-28T16:00:00",1.53173,-42,325,-1,0
2015-10-29 15:00:00,"short",1.5281,"stopped","2015-10-29T21:00:00",1.53203,-79,246,-1,-1
2015-11-02 16:00:00,"long",1.54641,"stopped","2015-11-02T17:00:00",1.54554,-17,229,-1,-2
2015-11-10 17:00:00,"long",1.51093,"target","2015-11-11T01:00:00",1.51332,48,277,1,-1
2015-11-16 10:00:00,"short",1.52028,"target","2015-11-17T05:00:00",1.51806,45,322,1,0
2015-11-17 17:00:00,"long",1.52167,"stopped","2015-11-18T04:00:00",1.51955,-42,280,-1,-1
2015-12-08 03:00:00,"short",1.50511,"target","2015-12-08T05:00:00",1.50421,18,298,1,0
2015-12-21 13:00:00,"short",1.48967,"stopped","2015-12-21T14:00:00",1.49095,-26,272,-1,-1
2016-01-04 01:00:00,"short",1.4736,"target","2016-01-04T02:00:00",1.47259,20,292,1,0
2016-01-04 09:00:00,"short",1.47595,"stopped","2016-01-04T12:00:00",1.47991,-79,213,-1,-1
2016-01-20 11:00:00,"short",1.41841,"target","2016-01-21T13:00:00",1.41246,119,332,1,0
2016-02-02 14:00:00,"long",1.44046,"stopped","2016-02-02T17:00:00",1.43639,-81,251,-1,-1
2016-02-04 15:00:00,"long",1.46145,"stopped","2016-02-04T17:00:00",1.45612,-107,144,-1,-2
2016-02-19 15:00:00,"short",1.42785,"stopped","2016-02-19T18:00:00",1.4311,-65,79,-1,-3
2016-03-01 08:00:00,"long",1.39407,"stopped","2016-03-01T09:00:00",1.39329,-16,63,-1,-4
2016-03-03 15:00:00,"long",1.40896,"stopped","2016-03-03T16:00:00",1.40821,-15,48,-1,-5
2016-03-17 03:00:00,"long",1.42632,"stopped","2016-03-17T06:00:00",1.42353,-56,-8,-1,-6
2016-04-08 01:00:00,"short",1.4054,"stopped","2016-04-08T03:00:00",1.40614,-15,-23,-1,-7
2016-04-08 03:00:00,"short",1.40572,"stopped","2016-04-08T04:00:00",1.4067,-20,-43,-1,-8
2016-04-13 18:00:00,"short",1.42217,"target","2016-04-14T02:00:00",1.41919,60,17,1,-7
2016-04-21 08:00:00,"short",1.43443,"target","2016-04-21T11:00:00",1.43257,37,54,1,-6
2016-04-21 17:00:00,"short",1.43384,"stopped","2016-04-22T08:00:00",1.43641,-51,3,-1,-7
2016-04-22 17:00:00,"long",1.44067,"target","2016-04-25T00:00:00",1.4453,93,96,1,-6
2016-04-25 09:00:00,"long",1.44283,"target","2016-04-25T14:00:00",1.44584,60,156,1,-5
2016-04-29 14:00:00,"long",1.46115,"target","2016-04-29T15:00:00",1.4638,53,209,1,-4
2016-04-29 15:00:00,"long",1.46112,"target","2016-04-29T16:00:00",1.46443,66,275,1,-3
2016-05-04 09:00:00,"short",1.45492,"target","2016-05-04T11:00:00",1.45221,54,329,1,-2
2016-05-06 15:00:00,"long",1.44556,"stopped","2016-05-13T15:00:00",1.43677,-176,153,-1,-3
2016-05-20 11:00:00,"short",1.45722,"target","2016-05-20T12:00:00",1.45511,42,195,1,-2
2016-05-26 10:00:00,"long",1.47165,"stopped","2016-05-26T11:00:00",1.46943,-44,151,-1,-3
2016-05-27 10:00:00,"short",1.46779,"target","2016-05-27T12:00:00",1.46351,86,237,1,-2
2016-05-27 12:00:00,"short",1.46629,"target","2016-05-27T16:00:00",1.46196,87,324,1,-1
2016-05-30 09:00:00,"short",1.4612,"target","2016-05-30T10:00:00",1.4604,16,340,1,0
2016-05-31 11:00:00,"short",1.45933,"stopped","2016-05-31T13:00:00",1.46192,-52,288,-1,-1
2016-06-01 10:00:00,"short",1.44894,"target","2016-06-01T12:00:00",1.4449,81,369,1,0
2016-06-03 09:00:00,"short",1.44149,"stopped","2016-06-03T10:00:00",1.44277,-26,343,-1,-1
2016-06-10 00:00:00,"short",1.44608,"target","2016-06-10T07:00:00",1.44451,31,374,1,0
2016-06-10 07:00:00,"short",1.44478,"stopped","2016-06-10T08:00:00",1.44526,-10,364,-1,-1
2016-06-10 08:00:00,"short",1.44519,"stopped","2016-06-10T09:00:00",1.44685,-33,331,-1,-2
2016-06-13 06:00:00,"short",1.41983,"target","2016-06-13T07:00:00",1.41792,38,369,1,-1
2016-06-14 12:00:00,"short",1.41402,"stopped","2016-06-14T13:00:00",1.4169,-58,311,-1,-2
2016-06-14 15:00:00,"short",1.41671,"target","2016-06-14T17:00:00",1.41075,119,430,1,-1
2016-06-16 21:00:00,"long",1.4206,"target","2016-06-17T02:00:00",1.42552,98,528,1,0
2016-06-21 16:00:00,"long",1.46683,"target","2016-06-22T17:00:00",1.47471,158,686,1,1
2016-06-29 11:00:00,"long",1.33917,"target","2016-06-29T13:00:00",1.34243,65,751,1,2
2016-07-04 14:00:00,"short",1.32725,"stopped","2016-07-04T18:00:00",1.33054,-66,685,-1,1
2016-07-05 05:00:00,"short",1.3251,"target","2016-07-05T09:00:00",1.32396,23,708,1,2
2016-07-07 16:00:00,"long",1.29882,"stopped","2016-07-07T17:00:00",1.29453,-86,622,-1,1
2016-07-14 22:00:00,"long",1.33287,"target","2016-07-14T23:00:00",1.33439,30,652,1,2
2016-07-15 07:00:00,"long",1.34263,"stopped","2016-07-15T10:00:00",1.33728,-107,545,-1,1
2016-07-20 04:00:00,"short",1.30866,"stopped","2016-07-20T07:00:00",1.31088,-45,500,-1,0
2016-07-21 13:00:00,"long",1.31845,"target","2016-07-21T18:00:00",1.32287,88,588,1,1
2016-07-22 11:00:00,"long",1.31808,"stopped","2016-07-26T09:00:00",1.30707,-220,368,-1,0
2016-07-29 16:00:00,"long",1.31916,"target","2016-07-29T17:00:00",1.32526,122,490,1,1
2015-08-14 17:00:00,"long",1.56074,"target","2015-08-16T22:00:00",1.56612,108,598,1,2
2015-08-18 03:00:00,"short",1.55824,"stopped","2015-08-18T05:00:00",1.55898,-15,583,-1,1
2015-08-21 22:00:00,"long",1.5694,"stopped","2015-08-21T23:00:00",1.56838,-20,563,-1,0
2015-08-27 14:00:00,"short",1.54644,"target","2015-08-27T15:00:00",1.54325,64,627,1,1
2015-08-28 12:00:00,"short",1.54052,"target","2015-08-28T15:00:00",1.53629,85,712,1,2
2015-09-02 03:00:00,"short",1.53024,"stopped","2015-09-02T06:00:00",1.53145,-24,688,-1,1
2015-09-07 13:00:00,"long",1.52619,"target","2015-09-07T18:00:00",1.52804,37,725,1,2
2015-09-20 23:00:00,"short",1.5529,"stopped","2015-09-21T09:00:00",1.55477,-37,688,-1,1
2015-09-23 05:00:00,"short",1.53497,"target","2015-09-23T08:00:00",1.53382,23,711,1,2
2015-09-23 09:00:00,"short",1.53561,"target","2015-09-23T10:00:00",1.53295,53,764,1,3
2015-09-29 05:00:00,"short",1.51653,"stopped","2015-09-29T08:00:00",1.51749,-19,745,-1,2
2015-10-01 10:00:00,"short",1.51265,"stopped","2015-10-01T11:00:00",1.51467,-40,705,-1,1
2015-10-08 20:00:00,"long",1.53209,"target","2015-10-08T21:00:00",1.5348,54,759,1,2
2015-10-09 07:00:00,"long",1.53694,"stopped","2015-10-09T08:00:00",1.53661,-6,753,-1,1
2015-10-15 10:00:00,"long",1.54612,"target","2015-10-15T13:00:00",1.55026,83,836,1,2
2015-10-19 18:00:00,"long",1.5469,"target","2015-10-20T10:00:00",1.54908,44,880,1,3
2015-10-26 00:00:00,"short",1.5316,"stopped","2015-10-26T04:00:00",1.53276,-23,857,-1,2
2015-10-28 14:00:00,"short",1.52965,"stopped","2015-10-28T16:00:00",1.53173,-42,815,-1,1
2015-10-29 15:00:00,"short",1.5281,"stopped","2015-10-29T21:00:00",1.53203,-79,736,-1,0
2015-11-02 16:00:00,"long",1.54641,"stopped","2015-11-02T17:00:00",1.54554,-17,719,-1,-1
2015-11-10 17:00:00,"long",1.51093,"target","2015-11-11T01:00:00",1.51332,48,767,1,0
2015-11-16 10:00:00,"short",1.52028,"target","2015-11-17T05:00:00",1.51806,45,812,1,1
2015-11-17 17:00:00,"long",1.52167,"stopped","2015-11-18T04:00:00",1.51955,-42,770,-1,0
2015-12-08 03:00:00,"short",1.50511,"target","2015-12-08T05:00:00",1.50421,18,788,1,1
2015-12-21 13:00:00,"short",1.48967,"stopped","2015-12-21T14:00:00",1.49095,-26,762,-1,0
2016-01-04 01:00:00,"short",1.4736,"target","2016-01-04T02:00:00",1.47259,20,782,1,1
2016-01-04 09:00:00,"short",1.47595,"stopped","2016-01-04T12:00:00",1.47991,-79,703,-1,0
2016-01-20 11:00:00,"short",1.41841,"target","2016-01-21T13:00:00",1.41246,119,822,1,1
2016-02-02 14:00:00,"long",1.44046,"stopped","2016-02-02T17:00:00",1.43639,-81,741,-1,0
2016-02-04 15:00:00,"long",1.46145,"stopped","2016-02-04T17:00:00",1.45612,-107,634,-1,-1
2016-02-19 15:00:00,"short",1.42785,"stopped","2016-02-19T18:00:00",1.4311,-65,569,-1,-2
2016-03-01 08:00:00,"long",1.39407,"stopped","2016-03-01T09:00:00",1.39329,-16,553,-1,-3
2016-03-03 15:00:00,"long",1.40896,"stopped","2016-03-03T16:00:00",1.40821,-15,538,-1,-4
2016-03-17 03:00:00,"long",1.42632,"stopped","2016-03-17T06:00:00",1.42353,-56,482,-1,-5
2016-04-08 01:00:00,"short",1.4054,"stopped","2016-04-08T03:00:00",1.40614,-15,467,-1,-6
2016-04-08 03:00:00,"short",1.40572,"stopped","2016-04-08T04:00:00",1.4067,-20,447,-1,-7
2016-04-13 18:00:00,"short",1.42217,"target","2016-04-14T02:00:00",1.41919,60,507,1,-6
2016-04-21 08:00:00,"short",1.43443,"target","2016-04-21T11:00:00",1.43257,37,544,1,-5
2016-04-21 17:00:00,"short",1.43384,"stopped","2016-04-22T08:00:00",1.43641,-51,493,-1,-6
2016-04-22 17:00:00,"long",1.44067,"target","2016-04-25T00:00:00",1.4453,93,586,1,-5
2016-04-25 09:00:00,"long",1.44283,"target","2016-04-25T14:00:00",1.44584,60,646,1,-4
2016-04-29 14:00:00,"long",1.46115,"target","2016-04-29T15:00:00",1.4638,53,699,1,-3
2016-04-29 15:00:00,"long",1.46112,"target","2016-04-29T16:00:00",1.46443,66,765,1,-2
2016-05-04 09:00:00,"short",1.45492,"target","2016-05-04T11:00:00",1.45221,54,819,1,-1
2016-05-06 15:00:00,"long",1.44556,"stopped","2016-05-13T15:00:00",1.43677,-176,643,-1,-2
2016-05-20 11:00:00,"short",1.45722,"target","2016-05-20T12:00:00",1.45511,42,685,1,-1
2016-05-26 10:00:00,"long",1.47165,"stopped","2016-05-26T11:00:00",1.46943,-44,641,-1,-2
2016-05-27 10:00:00,"short",1.46779,"target","2016-05-27T12:00:00",1.46351,86,727,1,-1
2016-05-27 12:00:00,"short",1.46629,"target","2016-05-27T16:00:00",1.46196,87,814,1,0
2016-05-30 09:00:00,"short",1.4612,"target","2016-05-30T10:00:00",1.4604,16,830,1,1
2016-05-31 11:00:00,"short",1.45933,"stopped","2016-05-31T13:00:00",1.46192,-52,778,-1,0
2016-06-01 10:00:00,"short",1.44894,"target","2016-06-01T12:00:00",1.4449,81,859,1,1
2016-06-03 09:00:00,"short",1.44149,"stopped","2016-06-03T10:00:00",1.44277,-26,833,-1,0
2016-06-10 00:00:00,"short",1.44608,"target","2016-06-10T07:00:00",1.44451,31,864,1,1
2016-06-10 07:00:00,"short",1.44478,"stopped","2016-06-10T08:00:00",1.44526,-10,854,-1,0
2016-06-10 08:00:00,"short",1.44519,"stopped","2016-06-10T09:00:00",1.44685,-33,821,-1,-1
2016-06-13 06:00:00,"short",1.41983,"target","2016-06-13T07:00:00",1.41792,38,859,1,0
2016-06-14 12:00:00,"short",1.41402,"stopped","2016-06-14T13:00:00",1.4169,-58,801,-1,-1
2016-06-14 15:00:00,"short",1.41671,"target","2016-06-14T17:00:00",1.41075,119,920,1,0
2016-06-16 21:00:00,"long",1.4206,"target","2016-06-17T02:00:00",1.42552,98,1018,1,1
2016-06-21 16:00:00,"long",1.46683,"target","2016-06-22T17:00:00",1.47471,158,1176,1,2
2016-06-29 11:00:00,"long",1.33917,"target","2016-06-29T13:00:00",1.34243,65,1241,1,3
2016-07-04 14:00:00,"short",1.32725,"stopped","2016-07-04T18:00:00",1.33054,-66,1175,-1,2
2016-07-05 05:00:00,"short",1.3251,"target","2016-07-05T09:00:00",1.32396,23,1198,1,3
2016-07-07 16:00:00,"long",1.29882,"stopped","2016-07-07T17:00:00",1.29453,-86,1112,-1,2
2016-07-14 22:00:00,"long",1.33287,"target","2016-07-14T23:00:00",1.33439,30,1142,1,3
2016-07-15 07:00:00,"long",1.34263,"stopped","2016-07-15T10:00:00",1.33728,-107,1035,-1,2
2016-07-20 04:00:00,"short",1.30866,"stopped","2016-07-20T07:00:00",1.31088,-45,990,-1,1
2016-07-21 13:00:00,"long",1.31845,"target","2016-07-21T18:00:00",1.32287,88,1078,1,2
2016-07-22 11:00:00,"long",1.31808,"stopped","2016-07-26T09:00:00",1.30707,-220,858,-1,1
2016-07-29 16:00:00,"long",1.31916,"target","2016-07-29T17:00:00",1.32526,122,980,1,2
